date,PRECTOT,PS,T2M,T2MDEW,T2MWET,TS,QV2M
2008-07-01,3.07,100.07,24.49,17.77,17.77,24.5,13.52
2008-08-01,8.17,99.88,22.6,17.72,17.72,22.58,13.66
2008-09-01,1.36,100.23,20.11,14.93,14.93,20.11,11.23
2008-10-01,4.52,100.55,16.32,11.12,11.13,16.1,9.15
2008-11-01,4.39,100.31,12.46,7.76,7.8,12.37,7.87
2008-12-01,4.21,100.54,13.44,10.13,10.16,13.28,8.85
2009-01-01,2.01,100.52,8.69,4.85,4.9,8.57,6.46
2009-02-01,6.24,100.3,12.18,8.59,8.61,12.07,8.11
2009-03-01,8.5,100.22,15.26,11.71,11.72,15.13,9.3
2009-04-01,4.45,100.42,17.05,13.08,13.09,17.03,10.13
2009-05-01,6.02,100.19,19.18,16.18,16.19,19.13,12.4
2009-06-01,3.61,99.93,23.36,18.94,18.95,23.1,14.86
2009-07-01,4.82,100.17,22.31,18.08,18.08,22.27,13.85
2009-08-01,3.26,100.15,22.53,18.46,18.46,22.45,13.89
2009-09-01,7.21,100.1,21.96,19.01,19.01,21.86,14.44
2009-10-01,7.25,100.19,16.68,13.81,13.82,16.64,10.7
2009-11-01,1.65,100.31,12.94,10.01,10.02,12.58,8.4
2009-12-01,7.54,100.41,10.24,7.75,7.76,10.08,7.59
2010-01-01,5.69,100.14,11.25,7.84,7.85,10.84,7.58
2010-02-01,3.14,100.15,9.6,5.32,5.34,9.39,6.78
2010-03-01,2.28,100.03,12.81,9.18,9.19,12.72,7.96
2010-04-01,3.11,100.06,17.02,12.12,12.14,16.88,9.58
2010-05-01,4.48,100.12,20.34,15.9,15.91,20.29,12.53
2010-06-01,2.44,100.24,22.9,17.22,17.23,22.79,14.12
2010-07-01,2.41,100.25,24.03,17.72,17.73,23.97,14.36
2010-08-01,4.02,100.08,22.81,17.41,17.42,22.85,14.05
2010-09-01,2.43,100.11,21.35,13.66,13.67,21.25,10.77
2010-10-01,3.69,100.26,17.42,10.28,10.3,17.08,8.9
2010-11-01,6.52,100.31,14.7,10.84,10.85,14.52,9.09
2010-12-01,1.5,100.3,9.11,4.88,4.92,8.88,6.73
2011-01-01,3.31,100.36,10.05,5.58,5.6,9.64,6.54
2011-02-01,1.1,100.45,15.33,10.43,10.44,15.15,8.63
2011-03-01,3.29,100.32,16.23,11.63,11.63,16.08,9.22
2011-04-01,5.07,100.15,18.49,13.81,13.82,18.3,10.62
2011-05-01,5.15,99.96,20.11,14.19,14.2,20.02,10.84
2011-06-01,3.33,100.02,23.14,16.71,16.72,23.15,12.89
2011-07-01,3.45,100.04,23.53,18.43,18.43,23.57,14.42
2011-08-01,1.5,99.95,24.3,15.78,15.78,24.38,12.11
2011-09-01,4.82,100.11,20.55,15.15,15.16,20.45,11.61
2011-10-01,1.18,100.18,15.51,8.87,8.88,15.32,7.98
2011-11-01,4.49,100.4,14.26,9.94,9.95,14.16,8.82
2011-12-01,3.12,100.58,12.5,9.16,9.17,12.36,8.11
2012-01-01,4.19,100.39,14.05,10.1,10.12,13.8,8.85
2012-02-01,4.11,100.27,14.99,11.62,11.63,14.9,9.41
2012-03-01,5.66,100.32,19.24,15.62,15.63,19.05,11.64
2012-04-01,3.23,100.18,19.05,14.58,14.58,18.94,11.03
2012-05-01,2.6,100.05,21.92,16.44,16.44,21.66,12.16
2012-06-01,0.38,100.04,24.01,16.55,16.55,24.06,12.29
2012-07-01,3.66,100.19,24.4,18.97,18.97,24.53,14.39
2012-08-01,2.84,100.14,22.95,17.82,17.82,22.88,13.36
2012-09-01,4.43,100.26,20.16,14.98,14.99,19.86,11.17
2012-10-01,3.15,100.1,16.8,11.29,11.29,16.62,8.99
2012-11-01,2.03,100.67,12.18,7.42,7.44,12.0,7.15
2012-12-01,6.72,100.4,10.78,6.96,6.98,10.54,7.16
2013-01-01,5.69,100.45,12.49,9.3,9.31,12.33,8.27
2013-02-01,4.53,100.16,11.73,7.88,7.9,11.62,7.53
2013-03-01,3.57,100.29,12.7,8.71,8.73,12.54,8.02
2013-04-01,4.62,100.33,16.7,13.19,13.2,16.65,10.26
2013-05-01,2.53,100.32,20.35,16.12,16.12,20.26,12.1
2013-06-01,4.22,100.1,22.42,18.57,18.57,22.37,14.22
2013-07-01,4.95,100.24,21.93,18.33,18.34,21.87,14.2
2013-08-01,3.85,100.3,21.88,18.18,18.18,21.76,13.9
2013-09-01,2.44,100.2,20.88,16.4,16.4,20.93,12.22
2013-10-01,3.72,100.38,17.46,13.01,13.02,17.35,10.06
2013-11-01,6.65,100.59,13.13,8.44,8.48,13.02,8.28
2013-12-01,6.25,100.59,10.73,7.27,7.29,10.59,7.42
2014-01-01,0.69,100.5,7.62,3.27,3.35,7.49,6.0
2014-02-01,2.21,100.28,12.86,9.24,9.26,12.68,8.3
2014-03-01,5.81,100.32,13.68,9.44,9.45,13.54,8.27
2014-04-01,4.79,100.19,16.96,13.19,13.2,16.89,10.27
2014-05-01,3.3,100.35,20.15,16.19,16.19,20.08,12.16
2014-06-01,4.87,100.28,22.02,17.83,17.85,21.87,13.98
2014-07-01,3.88,100.18,21.81,16.6,16.64,21.78,13.13
2014-08-01,1.58,100.21,22.77,16.96,16.97,22.64,13.26
2014-09-01,2.04,100.28,21.1,15.89,15.9,21.06,12.02
2014-10-01,3.29,100.18,17.1,12.62,12.62,16.98,9.85
2014-11-01,5.04,100.49,11.79,7.29,7.33,11.64,7.72
2014-12-01,6.85,100.37,12.3,9.33,9.33,12.28,8.18
2015-01-01,4.62,100.41,11.12,7.97,7.98,11.04,7.5
2015-02-01,5.05,100.47,9.64,5.72,5.77,9.65,6.99
2015-03-01,2.99,100.29,16.77,13.08,13.08,16.64,9.97
2015-04-01,6.21,100.03,18.69,15.01,15.01,18.62,11.24
2015-05-01,4.29,100.57,20.46,16.61,16.61,20.41,12.67
2015-06-01,2.7,100.38,23.35,18.42,18.42,23.15,14.42
2015-07-01,3.13,100.13,24.51,19.27,19.28,24.4,15.26
2015-08-01,3.08,100.24,22.6,17.46,17.48,22.55,13.5
2015-09-01,1.9,100.16,20.95,15.85,15.85,21.0,11.84
2015-10-01,3.71,100.32,18.33,12.65,12.66,18.22,10.01
2015-11-01,2.86,100.57,15.0,11.5,11.5,14.85,9.35
2015-12-01,8.49,100.28,16.11,13.48,13.48,15.98,10.51
2016-01-01,5.07,100.24,11.44,7.53,7.55,11.21,7.48
2016-02-01,5.38,100.38,13.63,9.73,9.74,13.55,8.52
2016-03-01,4.9,100.15,16.79,12.31,12.31,16.6,9.62
2016-04-01,2.59,100.23,18.5,14.21,14.21,18.4,10.78
2016-05-01,1.57,100.29,20.05,14.87,14.87,19.98,11.36
2016-06-01,3.29,100.24,23.07,17.44,17.45,23.05,13.57
2016-07-01,2.19,100.24,24.43,18.33,18.33,24.48,14.13
2016-08-01,2.15,100.24,24.0,17.98,17.98,24.11,13.92
2016-09-01,1.67,100.19,22.3,15.02,15.03,22.3,11.69
2016-10-01,1.04,100.51,19.43,10.83,10.85,19.08,9.01
2016-11-01,4.78,100.46,14.98,7.02,7.11,14.66,7.64
2016-12-01,2.74,100.63,13.67,9.74,9.76,13.52,8.67
2017-01-01,6.53,100.16,15.31,12.19,12.19,15.05,9.51
2017-02-01,4.23,100.21,15.83,12.1,12.1,15.62,9.44
2017-03-01,3.81,100.47,16.37,12.28,12.29,16.21,9.73
2017-04-01,2.19,100.19,19.61,15.32,15.32,19.47,11.45
2017-05-01,6.67,100.01,21.17,17.22,17.22,21.05,12.89
2017-06-01,8.54,100.14,21.53,18.03,18.03,21.54,13.87
2017-07-01,5.42,100.16,23.25,18.77,18.77,23.1,14.66
2017-08-01,5.37,100.13,21.98,17.55,17.56,21.77,13.77
2017-09-01,1.18,100.2,20.97,15.94,15.94,20.76,12.28
2017-10-01,2.66,100.44,15.83,11.29,11.3,15.78,9.2
2017-11-01,2.74,100.44,13.43,9.47,9.48,13.24,8.2
2017-12-01,2.22,100.54,11.62,8.3,8.3,11.46,7.96
2018-01-01,4.64,100.79,9.94,5.99,5.97,9.66,7.4
2018-02-01,2.84,100.62,17.48,14.24,14.14,17.44,10.97
2018-03-01,1.34,100.34,15.08,10.94,10.82,15.01,9.17
2018-04-01,5.08,100.27,16.09,11.47,11.29,16.0,9.14
2018-05-01,7.09,100.11,21.51,17.07,16.99,21.36,13.25
2018-06-01,3.68,100.21,23.28,18.9,18.75,23.12,14.67
2018-07-01,4.87,100.11,23.58,18.33,18.14,23.59,14.09
2018-08-01,4.64,100.32,22.47,18.04,17.92,22.51,13.85
2018-09-01,3.22,100.17,23.2,18.43,18.26,23.16,13.84
2018-10-01,2.35,100.31,17.72,13.14,12.94,17.72,10.07
2018-11-01,3.71,100.37,12.16,8.78,8.62,11.82,7.87
2018-12-01,7.43,100.28,12.75,10.08,9.86,12.63,8.32
2019-01-01,3.3,100.51,10.7,6.84,6.65,10.42,7.1
2019-02-01,4.03,100.3,15.75,12.12,11.94,15.65,9.5
2019-03-01,2.75,100.43,15.08,10.55,10.41,14.99,8.56
2019-04-01,5.09,100.06,18.13,13.62,13.41,18.03,10.22
2019-05-01,0.56,100.15,22.24,17.07,16.94,22.08,12.72
2019-06-01,3.56,100.22,23.14,18.41,18.29,23.04,13.95
2019-07-01,2.67,100.24,24.42,18.68,18.52,24.45,13.89
2019-08-01,3.59,100.07,24.66,18.56,18.35,24.81,13.99
2019-09-01,1.52,100.2,24.57,16.37,16.18,24.69,12.12
2019-10-01,4.65,100.15,18.11,13.84,13.54,18.03,10.59
2019-11-01,2.33,100.29,13.72,9.84,9.64,13.67,8.39
2019-12-01,5.91,100.3,13.46,10.52,10.3,13.34,8.7
2020-01-01,2.89,100.55,11.6,8.19,8.17,11.42,7.69
2020-02-01,5.76,100.54,12.01,8.3,8.2,11.83,7.63
2020-03-01,2.45,100.31,18.99,15.45,15.39,18.83,11.4
2020-04-01,6.23,100.09,17.16,12.8,12.62,17.0,9.64
2020-05-01,3.9,100.11,20.94,16.97,16.91,20.91,12.56
2020-06-01,3.14,100.21,22.19,17.6,17.49,22.16,13.03
2020-07-01,2.48,100.23,24.06,18.21,18.1,24.08,13.91
2020-08-01,3.58,100.07,23.26,18.61,18.55,23.25,14.28
2020-09-01,3.63,100.2,20.53,16.04,15.93,20.56,11.91
2020-10-01,5.35,100.28,19.31,15.32,15.18,19.3,11.42
2020-11-01,4.42,100.49,15.74,11.49,11.41,15.67,9.15
2020-12-01,4.79,100.36,12.15,9.3,9.97,12.03,8.24
